,0,1,2,3,4,5,6,7
0,CHGastro_Normal_001.png,16,22,8,17,10,16,0
1,CHGastro_Normal_003.png,10,34,4,44,10,15,0
2,CHGastro_Normal_006.png,6,40,8,23,26,26,0
3,CHGastro_Normal_007.png,27,63,16,35,16,47,0
4,CHGastro_Normal_009.png,16,54,4,50,10,14,0
5,CHGastro_Normal_010.png,2,0,0,1,20,3,0
6,CHGastro_Normal_018.png,0,0,0,3,0,0,0
7,CHGastro_Normal_043.png,5,0,2,0,33,3,0
8,CHGastro_Normal_044.png,2,6,0,1,29,2,0
9,CHGastro_Normal_047.png,65,107,52,84,66,76,0
10,CHGastro_Normal_059.png,24,26,17,84,16,37,0
11,CHGastro_Normal_075.png,23,176,62,42,60,69,0
12,CHGastro_Normal_076.png,16,152,40,21,39,56,0
13,CHGastro_Normal_095.png,38,21,14,33,21,35,0
14,CHGastro_Normal_108.png,34,29,29,64,43,31,0
15,CHGastro_Normal_119.png,1,4,1,11,4,4,0
16,CHGastro_Normal_120.png,30,8,9,45,33,4,0
17,CHGastro_Normal_121.png,13,24,12,20,7,14,0
18,CHGastro_Normal_122.png,13,24,4,16,7,13,0
19,CHGastro_Normal_130.png,5,0,0,3,29,6,0
20,CHGastro_Normal_157.png,16,3,7,19,24,3,0
21,CHGastro_Normal_158.png,16,1,2,21,5,2,0
22,CHGastro_Normal_166.png,3,3,1,4,3,7,0
23,CHGastro_Normal_167.png,21,19,24,14,36,22,0
24,CHGastro_Normal_168.png,4,3,4,17,5,1,0
25,CHGastro_Normal_169.png,13,0,5,20,10,4,0
26,CHGastro_Normal_172.png,17,4,0,13,3,16,0
27,CHGastro_Normal_173.png,5,10,1,10,3,10,0
28,CHGastro_Abnormal_013.png,177,420,304,73,317,472,1
29,CHGastro_Abnormal_021.png,14,40,15,25,19,22,1
30,CHGastro_Abnormal_022.png,19,41,29,9,27,28,1
31,CHGastro_Abnormal_023.png,35,29,27,61,21,37,1
32,CHGastro_Abnormal_028.png,57,151,83,43,84,100,1
33,CHGastro_Abnormal_030.png,13,24,9,15,7,23,1
34,CHGastro_Abnormal_032.png,124,121,201,111,202,137,1
35,CHGastro_Abnormal_036.png,128,75,129,102,149,125,1
36,CHGastro_Abnormal_037.png,31,55,38,39,62,39,1
37,CHGastro_Abnormal_041.png,53,0,21,15,48,7,1
38,CHGastro_Abnormal_042.png,26,1,24,32,30,6,1
39,CHGastro_Abnormal_045.png,43,46,31,50,66,27,1
40,CHGastro_Abnormal_054.png,278,469,519,146,468,353,1
41,CHGastro_Abnormal_056.png,80,91,136,84,111,87,1
42,CHGastro_Abnormal_060.png,266,430,525,177,499,360,1
43,CHGastro_Abnormal_064.png,19,9,11,48,9,23,1
44,CHGastro_Abnormal_065.png,191,161,197,197,183,174,1
45,CHGastro_Abnormal_068.png,122,133,228,62,247,136,1
46,CHGastro_Abnormal_069.png,38,162,95,76,80,84,1
47,CHGastro_Abnormal_072.png,102,133,130,96,126,129,1
48,CHGastro_Abnormal_073.png,238,305,305,178,284,225,1
49,CHGastro_Abnormal_074.png,224,251,284,153,265,254,1
50,CHGastro_Abnormal_080.png,207,203,274,143,277,207,1
51,CHGastro_Abnormal_082.png,8,18,3,21,4,13,1
52,CHGastro_Abnormal_084.png,2,15,2,12,2,13,1
53,CHGastro_Abnormal_085.png,3,1,0,8,2,13,1
54,CHGastro_Abnormal_086.png,20,24,18,24,12,24,1
55,CHGastro_Abnormal_088.png,1,0,0,0,0,9,1
56,CHGastro_Abnormal_091.png,76,74,123,56,129,75,1
57,CHGastro_Abnormal_093.png,81,164,142,49,138,84,1
58,CHGastro_Abnormal_097.png,28,17,26,70,29,27,1
59,CHGastro_Abnormal_100.png,107,248,256,55,234,160,1
60,CHGastro_Abnormal_101.png,50,31,34,24,52,24,1
61,CHGastro_Abnormal_103.png,133,224,265,71,260,132,1
62,CHGastro_Abnormal_105.png,103,79,119,63,135,59,1
63,CHGastro_Abnormal_109.png,58,78,49,64,70,59,1
64,CHGastro_Abnormal_112.png,32,74,84,46,63,60,1
65,CHGastro_Abnormal_113.png,183,293,377,89,362,196,1
66,CHGastro_Abnormal_116.png,235,402,436,166,384,293,1
67,CHGastro_Abnormal_125.png,95,47,81,77,92,40,1
68,CHGastro_Abnormal_126.png,95,46,87,76,87,39,1
69,CHGastro_Abnormal_127.png,149,135,93,75,113,85,1
70,CHGastro_Abnormal_134.png,96,126,178,48,184,82,1
71,CHGastro_Abnormal_135.png,87,73,125,81,141,81,1
72,CHGastro_Abnormal_136.png,107,160,179,116,161,113,1
73,CHGastro_Abnormal_137.png,125,180,186,147,210,112,1
74,CHGastro_Abnormal_139.png,166,190,325,146,305,148,1
75,CHGastro_Abnormal_143.png,149,161,254,170,252,103,1
76,CHGastro_Abnormal_144.png,70,63,63,101,57,74,1
77,CHGastro_Abnormal_145.png,170,198,330,65,326,109,1
78,CHGastro_Abnormal_146.png,225,256,385,87,385,126,1
79,CHGastro_Abnormal_147.png,238,263,369,84,378,126,1
80,CHGastro_Abnormal_149.png,105,364,240,84,228,177,1
81,CHGastro_Abnormal_153.png,381,422,608,265,517,389,1
82,CHGastro_Abnormal_155.png,65,23,41,24,80,17,1
83,CHGastro_Abnormal_159.png,199,201,281,83,296,151,1
84,CHGastro_Abnormal_161.png,139,236,274,74,272,179,1
85,CHGastro_Abnormal_162.png,252,234,361,147,386,137,1
86,CHGastro_Abnormal_164.png,39,68,101,29,102,38,1
87,CHGastro_Abnormal_174.png,56,0,31,20,95,7,1
